tweets,ClassLabel
user lets get to the bottom of this dm me your zip code and ill check it out we have your back and we will make sure you are enjoying the best that tv has to offer asap nevin bruce,0
user user user user for the record i know doug jones personally and he is only as enb c we had no other credible choice he wont beat the next election,0
user the presidents feelings are totally opposite of cnn s feelings so what does that say about cnn theyre all liberals,0
user its literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooo oooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and,1
user user there are many dumb arguments for gun control but this may be the dumbest and most common,1
users he is idk whats going on,0
user user yall need to chill he is having a really abysmal 2ndhalfrizzohadan abysmal 1st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at anytime u,0
user dude you are old lmao ps go pack go,0
user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user us,0
user the laughs ive gotten from you are enough,0
user user user well,0
user user user first of all they dont even have pizza at panera,0
user user user please dont kill me antifa on the other hand,1
user did you see shanahan say spoon was not 100 healthy this game obviously no excuses if youre out there but maybe its not the allis doom sort of thing it seemed during the game maybe he is still pretty good,0
user good girl user,0
user users he is an ugly black hearted troll url,1
user user user you are clearly not a pokemon master i have almost 400inr are candy alone over 150 legacy move set pokemon it just all depends on what you like to keep as collection pieces and what you value in the game,0
user dont believe the hype,1
user user user user user user user user user user user user user followed all new maga please follow back,0
protests reported in sunderland except these are football fan and one flag says west brom on it getting worse now even as it ypemagamegambgamcga conservatives patriots muslims far left leftists doomed to lose but do not realise sit civil war soon url,0
user liberals would still vote for him theyll claim his comments were taken out of context and that he is still a man of integrity,0
user user we have been saved from you maga,1
user you are bringing up honor and decency with that yoyo in the picture thats rich,0
user good riddance,0
users he is a goddess,0
user omg xd the worst or the best in my case is the best cuase it made me laugh t part washer asking is he dead does that hurts poor thing and the rest stand in there like nope he is no suffering so he is dead yeah pretty dead,0
user you can probably imagine all the sjw snowflakes that dont feel safe working where there might be conservatives lurking in the shadows conservatives are now the ruskiesofthe21st century,1
user user i see may in the same light as yourself even the last election was about her and not the conservatives a split is coming to the tory party very soon,0
user this alli get damn these haters deleting you ig for no reason url,1
user do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us,0
user you warned everyone about josh gordon the last 4 months on a daily basis im sure you are as shocked a siam of what transpired today,0
user user user why cant liberals read read it again url,0
users jshs j thats my job bitch,1
user do they discuss haiti,0
user user user what part of no collusion dont you get this is why you area dum ocr at,1
user he is very skilled,0
user you are amazing,0
user fist pump was for the troops,0
user if the reason for fara kans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters,1
user let the leftist democrats riot in the streets with their antifa counterparts,1
user i thought canada had strict gun control help me understand what is happening,0
user they dont want you following people because they dont like conservatives sickening how biased twitter s management is twitter left bias,0
user he is doing life tho,0
user its so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them which as you know is so false how can the word spread even more to those who need to know maga,0
user user antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached,1
user user user have you seen or listened to your antifa pals,0
user user in case of antifa take a little bat or something good for you more of should do that kind of thing,0
user your titles scare me a little bit,0
user gt eradicating hiv and malaria in the middle of africa good bloody luck,0
user user the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade able g cdn poli,0
user and who seems to be getting things done,0
i added a video to a user playlist url combat mon frere vs ismael et maga assassin vsdavidleboxeryfc2,0
user so has the law changed you just make an allegation now days and your guilty until proven innocent liberals are mentally ill,1
user straight up different thank joe biden for that one i also wonder the outcome if her name had been antifa hill,0
user this game sucks donkey balls,1
user yo for real you are gorgeous,0
user absolutely should be a nail in the coffin for hill iary,1
user user i hope he gets on twitter so i can tell him how amazing he is,0
user who are they gun control has been tried and is a proven failure this is why people dont vote democrat they refuse to admit reality gun control doesnt work,0
user so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about just because california has the biggest population does not mean the us shares in their values get a clue hillary,0
user user doesn the partly fund antifa,0
user he is a dumbass,1
user user user user user user user user user user user and levi strauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away or is it just selective freedoms url,1
user at this point in time i dont think pres trump gives a sht and neither do i lol url,1
user user ok conservatives get to the polls vote red,0
user donnie jr you and your family owe the country an apology for taking your criminal activities into our whitehouse you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice wil,1
a harvard harris poll conducted this year found that 48 percent of black americans said they would like to see between only one and 250000 legal immigrants brought to the usa year url mag at cot,0
user any doubt that user have officially become the national socialist american workers party is gone with ppl like those on user and user acting as der sturmer and antifa as their einsatzgruppen waffen ss detachment,0
user oh my carmen he is so fricking cute,1
user chelsea is as crazy as her mother,1
user its time the conservatives binned boris and sent lyin lynton back to australia,0
user user user the2015 manifesto promised me my vote back so where is it you think br exit would have gone through if all the brits in the eu27 had been allowed to vote the referendum was gerrymandered,0
user theme too movement must be an extension of antifa and is a complete joke if this movement wasnt selective joe biden would be in court for fond ing girls on camera url,0
user user you are awesome thankyou you give humanity hope,0
user goober,0
user another uninformed,0
user i forgot he is their foster child,0
user and the brainless dems wants us to believe that he doesnt have the majority liberals is just like their leaders the corrupts obama and crooked hillary both are real bad losers maga trump,1
user no fucking way he said this,0
user user such supposedly smart people didnt think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way,0
user im not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support,0
user user california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control,1
user user user user user user user user user or where 25oct2005 brazil citizens overwhelming voted noon the government implementing strict gun control by a factor of 639 and the brazilian government still violates that referendum ever,0
if we claim to be without sin we deceive ourselves and the truth is not in us if we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness 1john159,0
user user and yet millions of permit holding people carried legally concealed firearms that same day and didnt hurt themselves or anyone else but yet they want to have stronger gun control idiots our wonderful media has to hype incident,1
user yes do hurt yourselves gun control freaks,1
user user user user user you get more like this guy with every hysterical tweet url,0
user he always shows dedication at what he does no wonder he is the best url,0
user user user bullshit regulations are good because it keeps conservatives from striping our land into the abyss,1
user the owner of my culo,1
now she scarred herself for life lol maga url,1
user you fucking,1
confirm the man the left wing activist is a liar whos story changes no hard evidence christine blase y ford innocent until proven guilty confirm kavanaugh maga user weak rinos republicans,1
user reagan also signed the first gun control bill as governor of ca,0
user a we hogwash do we really need you to overstate the obvious,0
30yearsasajudge6 extensive backgrounds not a peep link to trump boom do conservatives only rape liberals url,0
im assuming im not going to get an answer brainless liberals to ogeocasiocortezuseron40t policy plan url wake up america this is not americas future vote republican or surrender america to these dem morons user maga,1
1 this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or other s2im waiting for gun control advocates to add this to their list of school shooting s3whobuys22 caliber handguns why url,0
user user leftists showing yet again how vile they can be,1
user he is a drunk crazy man,1
user user user user user user user user user user user user user user user user honored to be included with all these fine patriots thank you rena maga dean user url,0
user please shut up ontario is seeing what conservatives stand for user is not helping you loose this province your never going anywhere not they you will anyway your completely out of tune with canadian mr harper oops i mean mrs cheer common mista,0
user you are not alone i was sexually assaulted by a fellow law student in 1978i never reported it because i didnt think i would be believed however something happened that made me realize i wasnt his only victim then i felt id made a colossal mi,0
user but liberals do,0
user another terrorist attack not reported by msm,0
user dont know who you are so imma just url,0
user all that money hadnt made u smarter,1
user yes he is from gilmer it makes me laugh so much,0
user u both r my life line user,0
user always thought h ford was a levelheaded guy guess not note to ford climate change is summer fall winterspring happens every year get over it,0
user yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown,1
user user unfortunately your e right keep it real she is the assault weapon,0
users he is real rocky ohmygod,0
user thank you to everyone for making this possible you are amazing and so are the beautiful bears im a member of olivers army and i appreciate everything you do to make lives better,0
user yeah we got everything sorted that needed to be sorted she is still only taking small sips of her wine unusual for emily but she guessed jj wouldnt profile her,0
user by the way why dont you move to haiti you liberals seem to make shit holes out of large cities so go somewhere where its already a shithole so you dont have to do any work,1
user yes she is,0
user user user he tried this before and it went nowhere hes100pro gun control done,0
user user user user user he could have killed as many with a hunting rifle with the time and vantage he had he had close to an hour before police entered his room his actual shooting was over 10m in making this about gun control is just going to g,0
user user a hayes i see that the individual sense of needing to belong to a winning team because of the constant conditioning of self devaluation i see a strong sense of this on the qsi debut on the left hillary antifa side as well regardless if th,0
user user ohno i know why that i just dont know what she is talking about because i dont see a tweet she is rep ling too lol,0
user and here we have another demonstration that gun free zones dont work brought to you by a liberal who more than likely supports stricter gun control,0
shouldnt pussy grabbing user be the one wearing the gloves while handling food maga url,1
user you have no plan for the environment even conservatives should be able to understand that you have to be able to live on the planet to make money there,0
user user this is what happens when you tell white liberals that they dont get to congratulate themselves on how woke they are until they put their money where their mouth is that simple fact of life breaks their brains,0
user user user user user user user user user user user user antifa doesnt beat fac sists to try to get them to change their mind they know its a lost cause to try to change a fascists mind they do it to scare them into hiding to de moral i,1
user user soros is at the root of everything and anything anti american he has his money in hollywood all the way to islam and antifa to illegals url,0
fire morning joe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump url,1
user user truly has got to be the most idiotic thin give ever seen,1
user user brigitte gabriel has experienced a life that most would have nightmares from she is sounding the alarm for americans buy her book pay attention to what she is warning america about,0
user user user user user user user user user it does work if you want to control a population australian gun control had no effect on homicides,1
user user poor baby,0
user user user user antifa democrats dixie crats kkk url url,0
user user liberals ruin everything,1
user user user and dont forget his telling a primarily black liberal audience conservatives want to put them back in chains,0
users ad for both to be exploited and also to have a reputation destroyed now ive read shes part of antifa,0
user thats what happens when you let a liberal get ahold of a gun that would be a good place to start gun control ban liberals from getting guns,1
user user you look happy maga,1
user user user trump proposes racial profiling as a tactic to start thinking about url,0
user introducing my sweet sweet baby king he is always sooo nice and when i try to sit on the sofa he never attacks me url,0
user user user there all gone tho and input ed them from bottom to top with the first 20 seconds of your tweetyougood1tmart,0
user user exactly he is on record basically saying the president is above the law it should be noted that the gop is fine with this rudy has his own issues url,0
kamala harris the new dem emperor with no clothes taxpayers funded unprecedented armed protection for gun control sen kamala harris url via user,0
user yet she is father self,1
user user there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings arent about guilty innocence got on the bench times are diff now why as a journalist you dont call out white supremacy alt right but antifa,0
user user you dont understand who he is and is cap abl ities despite the proof in the economy my hypothesis is that you have been lied to by liberals your entire life and are believing what you are told the liberal media made bill clinton look good,0
oath must be subpoenaed to testify there is a lifetime appointment at stake here please do it right this time amp do not allow orrin hatch who has already made up his mind she is lying be allowed to question her his kind of questions could invite a lawsuit,0
user user yall are the best,0
user user user what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about followers like its,1
user indeed he is,0
user user user because im a little concerned about the q followers because they slowly become more and more a sort of right wing sj want if a thingie also excuse me for my horrible english its not my native langua se and didnt had much schooling ini,0
user yep antifa are literally hitler,0
user wow you are so hot,0
users he is the most deserving woman to be happy,0
user user user user ive noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter,0
user user user maybe you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens dont believe all the shit that goes on in your head,1
user user thats just modelling plenty of women make shit tons of money just for looking good,0
just watching a horizons how about scientists that discovered a dna mix between humans and neanderthals would have thought trump getting elected would have been proof enough maga,0
user user i hope there is a way to watch it on tv ted spanking liberals is always enjoyable,0
user user just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliance whatever the hell that is,1
user he should look in a mirror,0
user im sure he is,0
user user send him this user party manifesto where they promised they will help families maybe that will remind him his duties hostile environment price on love skype families user user user url,0
user user user user families being separated at the border in fact the picture of children in cages that liberals were using to show how evil trump is was actually taken while obama was president,0
user user but antifa is her people,0
user user we had a peoples vote on 23june2016 the people rejected the craven user worship which you stand for by a majority of over 1myoure contemptuously defying the will of the people ampuser2017ge manifesto amp supporting soros in,0
user cause who bitches be playing with god a int give me the gift for nothing,1
users he is free as a bird to return to her muslim homeland,0
mom speaks into her phone to compose a text for my brother she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling,0
user user melting snowflakes,0
user whos the victim that remains to be seen liberals have turned kavanaugh s hearings into a circus from the first minute it started,0
user coming from the man that threatened to try and kick tur mps as snow dont that take a set of balls,1
user user your e shocked to hear that liberals want to centralize power at the federal level,0
user user he is best of the best,0
what i learned today liberals can twin with outlying,0
user fast and furious holder lol,0
user getting scared ugly man,1
user is one of the only shows that are a progressive that i can stand to watch he dislikes the right and left evenly and you know who he is right from the start if you ve never seen his show check it out on youtube insightful maga,0
user he is not supreme court worthy,0
user god i hope not url,0
user user user yes he is,0
user user user user user bitch url,1
amp terr o is mamp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,1
i cant prove causation either but while the conservatives in cd a surely love the idea of user bashing pm user cant help but think they real so egging the former to continue th,0
user 2 republican men in a picture 85and84 what are men of that age are lawmakers too old no sorry young republicans are like young conservatives they are all bornat40 years of age,0
user user user liberals cant meme they have no sense of humor or knowledge of meme ing philosophy,0
user user any she is stunning,0
user yea your thebitch on the right getting smacked url,1
user why the focus on the proud boys i know your e not a real journalist kelly but why not focus on the ones doing all of the violence antifa if you want a story focus on why journalists leftist activists are constantly ignoring anti fas attack,0
user hahaha big thighs is not going to make it,1
user user user user its called educating liberals,0
maga christine for dtrump2020tcotccot america first patriots user brett kavanaugh had this to say about bill clinton during whitewater its imperative to make his pattern of revolting behavior clear piece by painful piece indeed url,1
maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government and what jobs did he create labour which pays less than living wage lmao url,1
user user if you wonna get paid pick up the energy people scream and shout like your e at the kavanaugh hearing url,0
user bro go watch how he hold his back wood in the interview like that shit was irritating lmao nigga is mad suspicious,1
a bitch built like that could be at my ass all she wants url,1
user user user user user user user user trash,0
user user very pathetic man,1
user user users he is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism,0
user shouldve played saint marie instead of london docks saint was ass for me,0
user thank goodness he is not mn passive aggressive love it,0
user user we can empty all our prisons also and just say they broke no laws liberal logic,0
user users he is an angel much love to her,0
user user for what why are you asking for his arrest liberals being butthurtfor19 months is not an impeachable offense,0
user user the tolerant left,0
user user user user user user you must be talking about hateful conservatives,1
user user thats correct maga,1
user user user user show me a single case where antifa have actually murdered someone because the far right murdered someone at charlottesville hypocrisy works both ways,0
user if bobby is fit thats exactly what i would say but not sure if he is or not,0
user the only white people that thank jesus are republicans ampex crackheads so say america hating liberals about christians many ex dems thank jesus too amp many former emmys watchers we thank jesus daily for our country our user amp the,0
user does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sportscasters how many td receptions skip have this year,0
user user user this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts user user user,1
user user user users he is just feeling his touch first time,0
user user user user this is great markthegreat one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode and sadly a lyss,1
user strata data a i data hairball user t davis touring the application of cognitive and machine learning techniques to speed governance of data url,1
user user user you are grossly misinterpreting who is against this people across all parties condemn this action look no further than bill davis and brian mulroney to see that even conservatives think this is a horrible decision,0
user user user user i wasnt proposing scare tactics i really meant what is aid trump can easily pull the good maga republicans and can easily steal enough votes from gop demand independents and will bring fresh breath to our rotten politics think,1
user user user user only a liberal would support a liberal that spent a million to get liberal selected to office lib fail url,1
user notice how everyone avoids this tweet they might think you are referring to them but not me comrade is talk everyone,0
user its so weirdly vicious and bitter to extrapolate from everyone should have access to decent healthcare to liberals think all criminals should be free it reveals a pretty brutal i stand impenetrable mind,1
user what the fuck game are you watching,1
user he is all grown up,0
health amp nature under threat from uk us user url,0
user user why didnt kavanaugh need terms guilty people those are the ones that need terms let me clue you in theyre worried that she is going to make a terrible impression and will not be believable theyre trying to manage that concern,0
user user user dont perpetuate colonialism if you are going to talk about puerto rico you must have puerto ricans in the panel jeez uz fucking christ how difficult can that bed isp or a en resistencia url,0
an anonymous message to anti faq q an on the great awakening commie clowns resistance rises resistance url,0
user antifa has no place in society,0
user user has two votes in our home west texas is stoked about him he is inspiring he can do this,0
user why why are liberals so trashy,1
user grape,0
user hello somebody need hyuk jae now she is in danger by watching your fan cams,0
user he never did show much intelligence,0
user yes i saw this and i will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up i dont think he is a big fan of her policies hes not that stupid please,1
user if you go by anything other than he or she you are fucked in the head,1
user are you sure she was t just thinking about herself,0
user url its a guy guy looks like a sheila q a non mag a great awakening crocodile dundee url,0
user user user heres the problem if you go back to fast and furious you have proof that the atf was looking to influence gun control in the us it may be preposterous that the government would fake sandy hook isnt facilitating a drug war somewhat s,0
user all you need to know is he is empty inside,1
user oh dear im so sorry you are having migraine i have them as well sending up prayers for you,0
user my sister by far she is the kindest sweetest person alive use to be my grandma but she passed in may that woman was a saint even had a song written about her my mom sa saint written by her children of course url,0
user the liberals are mentally unstable,1
user user who authorized a search warrant of mr jean home racist what about her drug test this is pre mediated murder he will not be slandered he is the victim,1
user what would this line putz know about what conservatives think,0
user dude why rut rolling ash rock z he is our guy just in a hurry to see bjp govt in state,0
user user shes said before that she will always be praying for him even tho she cant do anything im sure she is heartbroken as well at the events,0
user user user which one is it is there an active threat that you could be shot that is driving the need for gun control or is the idea that the threat exists hypothetical so i have an excuse to carry a big scary gun,0
user get a life,0
user containers of hurricane donations found rotting in puerto rico parking lot url,0
user user user user user user user user user user user followed all fantastic maga patriots look forward to you following back thank you amp have a wonderful day,0
user the suicide rate in america is similar to other countries that have strict gun control they use other url the uk jumping from cliffs and bridges is a common method,0
user are you joining antifa,0
user user apparently durbin has amnesia,0
55 canada has regulated firearms since the last quarter of the 19th century those laws have probably contributed to canada having only 1 as many handguns in circulation as in the us url,0
user user user i have heard he is making waves,1
user its anita hill versus clarence thomas all over again i hope this confirmation process has the same end result maga,0
user user boi if you dont,0
3rd time in my teacher career that ive had a parent tell me that he she is praying for me i always consider that a win teacher life pray all of the prayers url,0
user you are most welcome whys james cryin,0
user user funny watching these liberals all of a sudden doa180on being transparent warner had no problems with leaks now when the truth is out he has issues its over some people are in big trouble warner is likely one of them,0
user brown like you,0
user user user user user user user user user user user you ladies always make me smile if you know what i mean,0
thursday thoughts fuck liberals forever,1
user did you have to scalp custer,0
user once again its been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the 2a criminal dont care about gun laws,1
user user user user nothing abusive should ever be done to anyone including the women and people of this country she is putting under horrible stress worrying about what she is going to do this should have been an easy no from her if she is whos,0
user user mxm nigger thinks we give a fuck url,1
user users he is a fake vote her out now she wants sympathy,1
user user ask antifa which one they like amp respect,0
10 kids from different women from this american jobless men nigerian men you are the bomb,1
user by banning ammunition guns are still legal why not in state gun control to keep 247 watch on all firearms,0
user user user dont have anything to do with trump or any conservatives refuse to trade with them in business,0
user user user got him signing my book he is acute url,0
user this russian agent is a disgrace hey old creep user you are going to die in prison you and trump sold america to the russians and its time you do the time for your years of crimes scumbag,1
user user wow more s alinsky tactics,0
user what insanely ridiculous bullshit,1
user nhs is only the way it is because we have a overpopulated country conservatives have p river tis ed were nhs buys from,0
user we shouldnt be surprised these same pigs worked with neo nazis to unmask antifa protestors and the local coverage by shit journos like user didnt cover that at all we had to rely on user for investigative coverage url,1
user user gun control anyone disarm hate,0
user user im not for gun control practice reading comprehension first,0
user user i am beginning to believe that all liberals are sociopaths none of the people here believe in rule of law you have to have evidence of a crime to go any further confirm brett kavanaugh now,0
user user because 45 of americans are too lazy to vote non voters skew liberal and too many liberals who do vote throw their vote away on3rd party losers next question,1
user i cant wait to see his magata t across his chest with a picture of mueller,0
user user im sure he doesnt call his gated community s private security firm bull connors though its funny now liberals love privatization of police,1
user user wonder how many children he molested,1
user user you are amazing i admire you so much for always being able to raise above the ugliness amp hatred you show us what grace is,0
user user oh you are in england your views on gun control stopped matter in gin1776,1
user user user user user user this is the antifa party amp all of a sudden they expect us to believe they care about anyone besides themselves nope,1
antifa caught off guard after getting confronted by the last person they url via user,0
user ouch,1
user user wonder if he apologized to diamond and silk for calling them a minstrels how he should have been fired but there he is making faces,1
user which is why its awesome that kavanaugh didnt shake that gun control dads hand sorry for kid was killed by a gun but its not the future judges fault it happened omg white people in cities are silly,1
user john podesta is a spirit cooking pedo heres a photo of him and valerie jarrett in a rather compromising situation mag aqa non drain the deep state drain the swamp url,1
user user somebodys terrified what will happen when the american public knows the truth about what you ve been doing drain the deep state magatrump2020kagurl,0
user i love the way this pisses off liberals url,1
user was i bet you are still into sloane she is pretty awesome,0
